,comment_id,anonymous,graduating_year,job_title,tagline,created_at,program,overall_score,overall,curriculum,job_support,school
2841,285333,False,2021,UX/UI Designer,Amazing Journey to become a UX/UI Designer,1/25/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2842,285324,True,2022,Associate Software Engineer,Challenging experience - expect to work for your success!,1/25/2022,Software Engineering Career Track,4.0,4.0,4.0,4.0,springboard
2843,285285,False,2022,UX Designer,Great way to get into the field!,1/24/2022,UI/UX Design Career Track,4.3,4.0,4.0,5.0,springboard
2844,285277,False,2022,,A path to successfully enter the UI/UX Field,1/24/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2845,285267,False,2022,Data Analyst,Extensive program with sufficient support and projects applicable to real-life.,1/24/2022,Data Analytics Career Track,4.0,4.0,4.0,,springboard
2846,285231,False,2022,,A year-long exhausting beautiful journey ...,1/22/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2847,285201,False,2022,UX/UI Design,My experience with Springboard has been great from start to finish.,1/21/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2848,285130,False,2022,UiUx Designer,100% Recommend,1/19/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2849,285102,False,2022,UI/UX Design Certification Student,"Springboard is a great program, and I am so excited to have earned a new skillset!",1/18/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2850,285092,False,2022,Machine Learning Engineer,"Machine Learning Engineer Bootcamp - Excellent curriculum, outstanding career support",1/18/2022,,5.0,5.0,5.0,5.0,springboard
2851,285087,False,2022,UX Designer,"Good practice course, valuable mentorship",1/18/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2852,285077,False,2022,Cyber Security Analyst,Springboard career track,1/18/2022,,4.7,5.0,4.0,5.0,springboard
2853,285059,False,2022,UX Designer,Jumpstarted me in the right direction,1/17/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2854,284968,False,2022,Financial Data Analyst,Springboard: A Challenging and Rewarding Data Analytics Bootcamp,1/14/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2855,284947,False,2021,UX Designer,Springboard is the most supportive program from start to finish,1/13/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2856,284932,False,2022,Senior Product Analyst,A deliberate investment in your career.,1/13/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2857,284906,False,2022,,This bootcamp was very insightful &amp; resourceful! I recommend!,1/12/2022,Cyber Security Career Track,4.7,5.0,4.0,5.0,springboard
2858,284896,False,2021,Modeling and Simulation Engineer,Enroll here for J-O-B,1/12/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2859,284887,False,2022,,Successful career transition with Springboard,1/12/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2860,284844,False,2022,,"Valuable career coaching and mentorship, decent curriculum",1/11/2022,UI/UX Design Career Track,3.7,4.0,3.0,4.0,springboard
2861,284763,False,2022,UX/UI Designer,Efficient and Thorough,1/7/2022,UI/UX Design Career Track,4.5,4.0,5.0,,springboard
2862,284749,False,2022,Product Designer,UX Career Track,1/6/2022,UX Career Track,4.7,5.0,4.0,5.0,springboard
2863,284748,False,2022,UX UI Designer,Amazing!,1/6/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2864,284709,False,2021,,Data Science career track,1/5/2022,Data Science Career Track,3.7,4.0,4.0,3.0,springboard
2865,284697,False,2021,,"Overall, It was a good experience",1/5/2022,Data Analytics Career Track,4.0,4.0,4.0,4.0,springboard
2866,284682,True,2022,Student,Rewarding and Exciting,1/4/2022,Software Engineering Career Track Prep Course,5.0,5.0,5.0,5.0,springboard
2867,284656,False,2020,UX designer,Good Intro to UX design,1/3/2022,Introduction to Design,3.7,5.0,5.0,1.0,springboard
2868,284655,False,2021,UX Designer,Solid Bootcamp experience,1/3/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2869,284636,False,2021,Executive Director,Great Data Analytics Bootcamp,12/31/2021,Data Analytics Career Track,4.7,4.0,5.0,5.0,springboard
2870,284633,False,2021,User Experience Designer,A Rewarding Experience,12/31/2021,UI/UX Design Career Track,4.7,5.0,4.0,5.0,springboard
2871,284573,False,2020,Software Developer,Little support- confusing unstructured curriculum,12/28/2021,Data Analytics Career Track,1.3,2.0,1.0,1.0,springboard
2872,284544,False,2021,Data Analyst,Great Experience!,12/27/2021,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2873,284466,False,2021,,"Overall a great experience, with some hiccups along the way",12/23/2021,UI/UX Design Career Track,4.3,4.0,4.0,5.0,springboard
2874,284462,False,2021,Product Designer,Springboard is fantastic,12/23/2021,UI/UX Design Career Track,4.7,5.0,5.0,4.0,springboard
2875,284417,False,2021,,"Great, flexible bootcamp",12/22/2021,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2876,284380,False,2021,Data Science Career Track,Excellent mentorship,12/21/2021,Data Science Career Track,4.7,5.0,4.0,5.0,springboard
2877,284367,False,2021,,I definitely recommend the UX Design course,12/21/2021,UX Career Track,5.0,5.0,5.0,5.0,springboard
2878,284355,True,2021,,Mentor and Projects made it worth it.,12/20/2021,Data Analytics Career Track,3.0,4.0,4.0,1.0,springboard
2879,284304,False,2021,UI UX Designer,Very consistent,12/19/2021,UI/UX Design Career Track,4.0,4.0,5.0,3.0,springboard
2880,284256,True,2021,Project Manager,"Great Program, a little time consuming for the busy parent",12/17/2021,Data Analytics Career Track,4.7,4.0,5.0,5.0,springboard
2881,284245,False,2021,,Springboard UI/UX Design Career Track,12/17/2021,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
